任务ID,说明,任务标题,任务类型,任务图标,完成条件描述,解锁等级,是否显示,立即前往,完成条件,条件参数1,条件参数2,条件参数3,需完成次数,未完成提示,奖励经验,奖励金币,奖励钻石,奖励体力,奖励抽卡券,奖励道具,结束后启动,重置周期,重置周期参数
,策划看不用解析,,1=主线        2=日常,,,,0=不显示         1=显示,[]表示没有立即前往, 1=通关指定关卡                2=为任意英雄穿戴装备         3=为任意英雄升级           4=为任意英雄升星          5=为任意英雄技能升级           6=抽卡N次                    7=使用任意经验卡              8=点金（钻石购买体力）9=领取每日体力,填0表示没有意义,填0表示没有意义,填0表示没有意义,,填0表示没有tips  语言包对应文字ID,填0表示没有，不显示,填0表示没有，不显示,填0表示没有，不显示,填0表示没有，不显示,,填[]表示没有，不显示          界面挤不开，最多配2个道具,填[]表示没有要启动的任务, 0=不可重置           1=日重置     2=周重置,填[]表示没参数
ID,Null,Title,Type,Icon,Desc,UnlockLv,Show,QuickTo,FinishCondition,,,,CompleteTimes,Tips,AwardExp,AwardCoin,AwardDiamond,AwardEnergy,AwardFlashcard,AwardItems,EndStartID,TaskReset,TaskResetParameters
index,null,int,int,string,int,int,int,json,int,int,int,int,int,int,int,int,int,int,int,item,json,int,json
1,通过第一章第2关,50000,1,icon_task_01.png,50001,1,1,[10+1+102],27,102,0,0,1,0,40,1000,30,0,0,[],[2],0,[]
2,通过第一章第4关,50002,1,icon_task_01.png,50003,1,1,[10+1+104],27,104,0,0,1,0,40,1000,30,0,0,[],[3],0,[]
3,通过第一章第6关,50004,1,icon_task_01.png,50005,1,1,[10+1+106],27,106,0,0,1,0,40,1000,30,0,0,[],[4],0,[]
4,通过第一章第8关,50006,1,icon_task_01.png,50007,1,1,[10+1+108],27,108,0,0,1,0,40,1000,30,0,0,[],[5],0,[]
5,通过第一章第10关,50008,1,icon_task_01.png,50009,1,1,[10+1+110],27,110,0,0,1,0,40,1000,30,0,0,[],[6],0,[]
6,通过第二章第2关,50010,1,icon_task_01.png,50011,1,1,[10+2+202],27,202,0,0,1,0,60,1000,30,0,0,[],[7],0,[]
7,通过第二章第4关,50012,1,icon_task_01.png,50013,1,1,[10+2+204],27,204,0,0,1,0,60,1000,30,0,0,[],[8],0,[]
8,通过第二章第6关,50014,1,icon_task_01.png,50015,1,1,[10+2+206],27,206,0,0,1,0,60,1000,30,0,0,[],[9],0,[]
9,通过第二章第8关,50016,1,icon_task_01.png,50017,1,1,[10+2+208],27,208,0,0,1,0,60,1000,30,0,0,[],[10],0,[]
10,通过第二章第10关,50018,1,icon_task_01.png,50019,1,1,[10+2+210],27,210,0,0,1,0,60,1000,30,0,0,[],[11],0,[]
11,通过第三章第2关,50020,1,icon_task_01.png,50021,1,1,[10+3+302],27,302,0,0,1,0,120,1000,30,0,0,[],[12],0,[]
12,通过第三章第4关,50022,1,icon_task_01.png,50023,1,1,[10+3+304],27,304,0,0,1,0,120,1000,30,0,0,[],[13],0,[]
13,通过第三章第6关,50024,1,icon_task_01.png,50025,1,1,[10+3+306],27,306,0,0,1,0,120,1000,30,0,0,[],[14],0,[]
14,通过第三章第8关,50026,1,icon_task_01.png,50027,1,1,[10+3+308],27,308,0,0,1,0,120,1000,30,0,0,[],[15],0,[]
15,通过第三章第10关,50028,1,icon_task_01.png,50029,1,1,[10+3+310],27,310,0,0,1,0,120,1000,30,0,0,[],[16],0,[]
16,通过第四章第2关,50030,1,icon_task_01.png,50031,1,1,[10+4+402],27,402,0,0,1,0,200,1000,30,0,0,[],[17],0,[]
17,通过第四章第4关,50032,1,icon_task_01.png,50033,1,1,[10+4+404],27,404,0,0,1,0,200,1000,30,0,0,[],[18],0,[]
18,通过第四章第6关,50034,1,icon_task_01.png,50035,1,1,[10+4+406],27,406,0,0,1,0,200,1000,30,0,0,[],[19],0,[]
19,通过第四章第8关,50036,1,icon_task_01.png,50037,1,1,[10+4+408],27,408,0,0,1,0,200,1000,30,0,0,[],[20],0,[]
20,通过第四章第10关,50038,1,icon_task_01.png,50039,1,1,[10+4+410],27,410,0,0,1,0,200,1000,30,0,0,[],[21],0,[]
21,通过第五章第2关,50040,1,icon_task_01.png,50041,1,1,[10+5+502],27,502,0,0,1,0,300,1000,30,0,0,[],[22],0,[]
22,通过第五章第4关,50042,1,icon_task_01.png,50043,1,1,[10+5+504],27,504,0,0,1,0,300,1000,30,0,0,[],[23],0,[]
23,通过第五章第6关,50044,1,icon_task_01.png,50045,1,1,[10+5+506],27,506,0,0,1,0,300,1000,30,0,0,[],[24],0,[]
24,通过第五章第8关,50046,1,icon_task_01.png,50047,1,1,[10+5+508],27,508,0,0,1,0,300,1000,30,0,0,[],[25],0,[]
25,通过第五章第10关,50048,1,icon_task_01.png,50049,1,1,[10+5+510],27,510,0,0,1,0,300,1000,30,0,0,[],[26],0,[]
26,通过第六章第2关,50050,1,icon_task_01.png,50051,1,1,[10+6+602],27,602,0,0,1,0,400,1000,30,0,0,[],[27],0,[]
27,通过第六章第4关,50052,1,icon_task_01.png,50053,1,1,[10+6+604],27,604,0,0,1,0,400,1000,30,0,0,[],[28],0,[]
28,通过第六章第6关,50054,1,icon_task_01.png,50055,1,1,[10+6+606],27,606,0,0,1,0,400,1000,30,0,0,[],[29],0,[]
29,通过第六章第8关,50056,1,icon_task_01.png,50057,1,1,[10+6+608],27,608,0,0,1,0,400,1000,30,0,0,[],[30],0,[]
30,通过第六章第10关,50058,1,icon_task_01.png,50059,1,1,[10+6+610],27,610,0,0,1,0,400,1000,30,0,0,[],[31],0,[]
31,通过第七章第2关(隐藏留作以后新增),,1,icon_task_01.png,,999,0,[],11,999,0,0,1,0,0,0,0,0,0,[],[],0,[]
1001,每日抽卡1次,55004,2,icon_task_03.png,55005,1,1,[7],6,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1002,每日培养1次英雄(吃任意经验卡),55006,2,icon_task_04.png,55007,1,1,[3+7],7,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1003,每日钻石购买金币3次,55008,2,icon_task_05.png,55009,1,1,[61],8,0,0,0,3,0,10,200,0,0,0,[],[],1,[0]
1004,每日通过1次英雄试炼,55016,2,icon_task_10.png,55017,8,1,[],20,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1005,每日通过1次金币试炼,55018,2,icon_task_11.png,55019,8,1,[],21,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1006,每日完成5次竞技挑战,55022,2,icon_task_13.png,55023,1,1,[48],23,0,0,0,5,0,20,0,0,0,0,[100001+2],[],1,[0]
1007,公会活跃100,55030,2,icon_task_01.png,55031,10,1,[],42,0,0,0,100,0,10,500,0,0,0,[],[],1,[0]
1008,召回并派遣1次佣兵,55032,2,icon_task_01.png,55033,10,1,[],43,0,0,0,1,0,10,500,0,0,0,[],[],1,[0]
1009,每日打造1次装备,55036,2,icon_task_08.png,55037,20,1,[],204,0,0,0,1,0,10,0,0,0,0,[251+1],[],1,[0]
1010,每日购买1次竞技宝箱,55038,2,icon_task_05.png,55039,1,1,[48],45,0,0,0,1,0,0,10000,0,0,0,[],[],1,[0]
2101,预留任务：创角触发(隐藏),,1,,,999,0,[],11,999,0,0,999,0,0,0,0,0,0,[],[],0,[]
